a,b,m,d,k,n
28,7,1,4,7,1
26,8,1,5,9,1
25,7,1,4,7,1
26,5,1,3,1,1
28,4,1,3,3,1
29,5,1,3,5,1
25,8,1,3,4,2
25,9,1,3,6,2
24,10,1,3,8,2
23,10,1,4,10,2
23,9,1,4,8,2
24,8,1,3,2,2
68,29,2,3,5,3
67,31,2,3,7,3
65,32,2,3,9,3
64,31,2,3,11,3
65,29,2,3,1,3
67,28,2,3,3,3
7,13,1,3,7,1
5,14,1,3,9,1
4,13,1,3,11,1
5,11,1,3,1,1
7,10,1,3,3,1
8,11,1,3,5,1
10,16,1,3,7,1
8,17,1,3,9,1
7,16,1,3,11,1
8,14,1,3,1,1
10,13,1,3,3,1
11,14,1,3,5,1
19,20,1,3,4,2
19,21,1,3,6,2
18,22,1,4,8,2
17,22,1,4,6,2
17,21,1,3,0,2
18,20,1,3,2,2
52,67,2,3,3,3
53,68,2,3,5,3
52,70,2,3,7,3
50,71,2,3,9,3
49,70,2,3,11,3
50,68,2,3,1,3
19,18,1,3,6,2
18,19,1,3,8,2
17,19,1,4,10,2
17,18,1,4,8,2
18,17,1,3,2,2
19,17,1,3,4,2
13,19,1,4,3,1
11,20,1,3,9,1
10,19,1,3,11,1
11,17,1,3,1,1
13,16,1,4,3,1
14,17,1,5,5,1
14,18,1,3,0,2
15,17,1,3,2,2
16,17,1,3,4,2
16,18,1,4,6,2
15,19,1,4,4,2
14,19,1,3,10,2
15,22,1,3,8,2
14,22,1,3,10,2
14,21,1,3,0,2
15,20,1,4,2,2
16,20,1,4,0,2
16,21,1,3,6,2
47,59,2,3,9,3
46,58,2,3,11,3
47,56,2,3,1,3
49,55,2,3,3,3
50,56,2,3,5,3
49,58,2,3,7,3
18,16,1,3,8,2
17,16,1,3,10,2
17,15,1,3,0,2
18,14,1,3,2,2
19,14,1,3,4,2
19,15,1,3,6,2
21,16,1,3,8,2
20,16,1,3,10,2
20,15,1,3,0,2
21,14,1,3,2,2
22,14,1,3,4,2
22,15,1,3,6,2
24,13,1,3,8,2
23,13,1,3,10,2
23,12,1,3,0,2
24,11,1,3,2,2
25,11,1,3,4,2
25,12,1,3,6,2
27,8,1,3,2,2
28,8,1,3,4,2
28,9,1,3,6,2
27,10,1,3,8,2
26,10,1,3,10,2
26,9,1,3,0,2
30,10,1,3,8,2
29,10,1,3,10,2
29,9,1,3,0,2
30,8,1,3,2,2
31,8,1,3,4,2
31,9,1,3,6,2
29,13,1,3,10,2
29,12,1,3,0,2
30,11,1,3,2,2
31,11,1,3,4,2
31,12,1,3,6,2
30,13,1,3,8,2
27,16,1,3,8,2
26,16,1,3,10,2
26,15,1,3,0,2
27,14,1,3,2,2
28,14,1,3,4,2
28,15,1,3,6,2
29,15,1,3,0,2
30,14,1,3,2,2
31,14,1,3,4,2
31,15,1,3,6,2
30,16,1,3,8,2
29,16,1,3,10,2
22,23,1,3,4,2
22,24,1,3,6,2
21,25,1,3,8,2
20,25,1,3,10,2
20,24,1,3,0,2
21,23,1,3,2,2
10,25,1,5,3,1
8,26,1,4,1,1
7,25,1,5,3,1
8,23,1,5,9,1
10,22,1,4,7,1
11,23,1,5,9,1
11,24,1,3,0,2
12,23,1,3,2,2
13,23,1,3,4,2
13,24,1,3,6,2
12,25,1,3,8,2
11,25,1,3,10,2
9,25,1,3,8,2
8,25,1,3,10,2
8,24,1,3,0,2
9,23,1,3,2,2
10,23,1,3,4,2
10,24,1,3,6,2
4,28,1,4,11,1
2,29,1,4,1,1
1,28,1,4,3,1
2,26,1,5,5,1
4,25,1,6,6,2
5,26,1,5,1,1
3,28,1,3,8,2
2,28,1,3,10,2
2,27,1,3,0,2
3,26,1,3,2,2
4,26,1,3,4,2
4,27,1,3,6,2
7,22,1,5,11,1
5,23,1,6,8,2
4,22,1,6,10,2
5,20,1,5,9,1
7,19,1,4,7,1
8,20,1,4,9,1
6,23,1,3,2,2
7,23,1,3,4,2
7,24,1,3,6,2
6,25,1,3,8,2
5,25,1,3,10,2
5,24,1,3,0,2
1,25,1,5,3,1
-1,26,1,4,1,1
-2,25,1,4,3,1
-1,23,1,4,5,1
1,22,1,5,7,1
2,23,1,6,4,2
2,24,1,3,0,2
3,23,1,3,2,2
4,23,1,3,4,2
4,24,1,3,6,2
3,25,1,3,8,2
2,25,1,3,10,2
-5,28,1,3,7,1
-7,29,1,3,9,1
-8,28,1,3,11,1
-7,26,1,3,1,1
-5,25,1,3,3,1
-4,26,1,3,5,1
2,22,1,3,10,2
2,21,1,3,0,2
3,20,1,3,2,2
4,20,1,3,4,2
4,21,1,3,6,2
3,22,1,3,8,2
0,25,1,3,8,2
-1,25,1,3,10,2
-1,24,1,3,0,2
0,23,1,3,2,2
1,23,1,3,4,2
1,24,1,3,6,2
14,16,1,3,10,2
14,15,1,3,0,2
15,14,1,3,2,2
16,14,1,3,4,2
16,15,1,3,6,2
15,16,1,3,8,2
6,22,1,3,8,2
5,22,1,3,10,2
5,21,1,3,0,2
6,20,1,3,2,2
7,20,1,3,4,2
7,21,1,3,6,2
